run-id,region,crop,planting,nitrogen,gcm,scenario,ensmem,incl_historical,start_date,end_date,elevation,slope,latitude,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,use_vernalisation_fix,path_to_dem_asc_grid,path_to_slope_asc_grid,slope_unit,sim.json,crop.json,site.json,comment
1,nigeria,Recalibrated,early,low,GFDL-ESM4,ssp126,r1i1p1f1,FALSE,2021-01-01,2100-12-31,true,true,true,false,true,false,true,false,false,false,,,0.7|0.7|0.75|0|0.83|0.8|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
2,nigeria,Recalibrated,early,low,IPSL-CM6A-LR,ssp126,r1i1p1f1,FALSE,2021-01-01,2100-12-31,true,true,true,false,true,false,true,false,false,false,,,0.7|0.7|0.75|0|0.83|0.8|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
3,nigeria,Recalibrated,early,low,MPI-ESM1-2-HR,ssp126,r1i1p1f1,FALSE,2021-01-01,2100-12-31,true,true,true,false,true,false,true,false,false,false,,,0.7|0.7|0.75|0|0.83|0.8|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
4,nigeria,Recalibrated,early,low,MRI-ESM2-0,ssp370,r1i1p1f1,FALSE,2021-01-01,2100-12-31,true,true,true,false,true,false,true,false,false,false,,,0.7|0.7|0.75|0|0.83|0.8|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
5,nigeria,Recalibrated,early,low,UKESM1-0-LL,ssp585,r1i1p1f2,FALSE,2021-01-01,2100-12-31,true,true,true,false,true,false,true,false,false,false,,,0.7|0.7|0.75|0|0.83|0.8|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
6,nigeria,Recalibrated,early,medium,GFDL-ESM4,ssp126,r1i1p1f1,FALSE,2021-01-01,2100-12-31,true,true,true,false,true,false,true,false,false,false,,,0.8|0.8|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
7,nigeria,Recalibrated,early,medium,IPSL-CM6A-LR,ssp126,r1i1p1f1,FALSE,2021-01-01,2100-12-31,true,true,true,false,true,false,true,false,false,false,,,0.8|0.8|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
8,nigeria,Recalibrated,early,medium,MPI-ESM1-2-HR,ssp126,r1i1p1f1,FALSE,2021-01-01,2100-12-31,true,true,true,false,true,false,true,false,false,false,,,0.8|0.8|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
9,nigeria,Recalibrated,early,medium,MRI-ESM2-0,ssp370,r1i1p1f1,FALSE,2021-01-01,2100-12-31,true,true,true,false,true,false,true,false,false,false,,,0.8|0.8|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
10,nigeria,Recalibrated,early,medium,UKESM1-0-LL,ssp126,r1i1p1f2,FALSE,2021-01-01,2100-12-31,true,true,true,false,true,false,true,false,false,false,,,0.8|0.8|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
