run-id,use_vernalisation_fix,yields,bgr,nc_mode,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier
67,true,false,false,false,WR,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
68,false,false,false,false,WRa,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
69,false,false,false,false,SG,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
70,true,false,false,false,ZR,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
71,true,false,false,false,SM,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
72,false,false,false,false,KA,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
73,true,false,false,false,WW,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
74,true,false,false,false,WG,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
75,true,false,false,false,WR,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
76,false,false,false,false,WRa,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
77,false,false,false,false,SG,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
78,true,false,false,false,ZR,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
79,true,false,false,false,SM,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
80,false,false,false,false,KA,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
81,true,false,false,false,WW,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
82,true,false,false,false,WG,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
83,true,false,false,false,WR,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
84,false,false,false,false,WRa,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
85,false,false,false,false,SG,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
